"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: predicates","Param: rows"
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,0.010845,0.000597,"us/op",,64
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,0.024940,0.000515,"us/op",,256
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,0.078068,0.002504,"us/op",,1024
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,0.385167,0.015544,"us/op",,4096
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,1.744103,0.055036,"us/op",,16384
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,8.027116,0.308605,"us/op",,65536
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,42.518604,5.260801,"us/op",,262144
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,310.404608,17.660428,"us/op",,1048576
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.java_vectorApi","avgt",1,8,1319.107387,37.239509,"us/op",,4194304
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,0.611653,0.039113,"us/op",,64
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,0.622588,0.026833,"us/op",,256
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,0.708059,0.036741,"us/op",,1024
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,1.523730,0.346193,"us/op",,4096
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,4.291253,0.190398,"us/op",,16384
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,15.324083,0.867382,"us/op",,65536
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,69.373781,5.998053,"us/op",,262144
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,411.333183,37.244044,"us/op",,1048576
"com.adaworldapi.lancegraph.bench.C_ExecutionBoundary.native_fusedPlan","avgt",1,8,1858.686441,149.400062,"us/op",,4194304
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,6.818039,0.158841,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,15.599132,0.689941,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,29.721204,0.865278,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fused","avgt",1,8,59.362899,4.549396,"us/op",8,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,73.418548,1.464802,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,405.096000,7.322619,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,923.099907,31.760771,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.fusedScalarKernel","avgt",1,8,1807.261109,28.175197,"us/op",8,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.052921,0.003815,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.112476,0.005216,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.269718,0.029700,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.planConstructionOnly","avgt",1,8,0.633565,0.029509,"us/op",8,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,7.641421,0.918093,"us/op",1,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,15.024855,0.818124,"us/op",2,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,27.308656,2.182643,"us/op",4,65536
"com.adaworldapi.lancegraph.bench.E_FusionAndPlanning.unfused","avgt",1,8,61.915508,4.111936,"us/op",8,65536
